project,gap amount,per unit gap
921 Howard Street,"39,148,960",192852,"<a href="https://sfmohcd.org/sites/default/files/Documents/MOH/Loan%20Committee/Approved%20921%20Howard%20Gap%20Financing%20Loan%20Evaluation%20-%20Loan%20Committee%202-5-2021.pdf">gapRpt<a/>"
4840 Mission,"34,728,757",253495,"<a href="https://sfmohcd.org/sites/default/files/Documents/MOH/Loan%20Committee/Approved%204840%20Mission%20Gap%20Financing%20Loan%20Evaluation%20-%20Loan%20Committee%202-19-2021.pdf">gapRpt</a>"
180 Jones,"13,950,000",193750,"<a href="https://sfmohcd.org/sites/default/files/Documents/MOH/Loan%20Committee/Approved%20180%20Jones%20Final%20Gap%20Loan%20Eval%20-%20Loan%20Committee%203-4-2022.pdf">gapRpt</a>"
1633 Valencia,"39,036,048",267370,"<a href="https://media.api.sf.gov/documents/Approved_Permanent_Financing_and_LOSP_Financing_for_1633_Valencia_Loan_Evaluat_9bdji0H.pdf">gapRpt</a>"
730 Stanyon ,"69,528,927",434556,
"Hunters Pt Blk 14, 17",49200000,416950,
600 7th St,"84,277,41",381346,
Potrero Blk B,17680000,112611,
2550 Irving,"16,956,650",95800,
1515 S. Van Ness,"7,180,991",43255,
1979 Mission,3500000,
750 Golden Gate,3000000,
